job_role,required_skills
AI Engineer,"Python,PyTorch,TensorFlow,NLP,Computer Vision,Scikit-learn,Deep Learning"
Accountant,"Accounting,QuickBooks,Excel,Financial Reporting,Attention to Detail,Bookkeeping"
Actuarial Analyst,"Actuarial Science,Statistics,Excel,VBA,SQL,Probability,Financial Mathematics"
Administrative Assistant,"Microsoft Office Suite,Organization,Time Management,Communication,Data Entry"
Aerospace Engineer,"Aerodynamics,CFD,CATIA,MATLAB,Ansys,Structural Analysis"
Android Developer,"Kotlin,Android SDK,Jetpack Compose,MVVM,Room,Retrofit,Java"
Architect,"AutoCAD,Revit,SketchUp,Architectural Design,Building Codes,Project Management"
Architectural Designer,"AutoCAD,Revit,SketchUp,Architectural Design,Adobe Creative Suite"
AR/VR Developer,"Unity,C#,ARCore,ARKit,3D Modeling,Blender,Unreal Engine"
Audio Engineer,"Pro Tools,Ableton Live,Audio Engineering,Mixing,Mastering,Sound Design"
Automation Engineer,"Python,Automation,Selenium,Robotic Process Automation (RPA),APIs,PowerShell"
Backend Developer,"Node.js,Python,Java,Go,REST APIs,Microservices,SQL,Docker,Databases"
Bank Teller,"Cash Handling,Customer Service,Financial Transactions,Accuracy,Sales"
Bioinformatics Scientist,"Python,R,Bioinformatics,Genomics,Statistics,Bash,SQL"
Biomedical Engineer,"Biomedical Engineering,Medical Devices,MATLAB,SolidWorks,FDA Regulations"
Blockchain Developer,"Solidity,Hardhat,Ethereum,JavaScript,React,Web3.js,Cryptography"
Bookkeeper,"QuickBooks,Bookkeeping,Excel,Accounts Payable,Accounts Receivable,Payroll"
Business Analyst,"Business Analysis,Requirements Gathering,SQL,Microsoft Visio,Agile,Communication"
Business Development Representative,"Sales,Lead Generation,Cold Emailing,Communication,CRM,Salesforce"
Business Intelligence Analyst,"Power BI,Tableau,SQL,Excel,DAX,Data Warehousing,Data Visualization"
CAD Drafter,"AutoCAD,Technical Drawing,Drafting,SolidWorks,Attention to Detail"
Campaign Staff,"Political Campaigns,Communication,Voter Outreach,Organization,Fundraising"
Case Manager,"Social Work,Case Management,Empathy,Communication,Record Keeping"
Chemical Engineer,"Chemical Engineering,Process Simulation,Aspen HYSYS,Thermodynamics,Safety"
Civil Engineer,"AutoCAD,SAP2000,Civil Engineering,Structural Analysis,Construction Management"
Cloud Engineer,"AWS,Azure,GCP,Terraform,Docker,Kubernetes,CI/CD,Networking"
Cloud Security Engineer,"Cloud Security,AWS,IAM,Security Hub,Azure Security Center,Terraform"
Coach,"Coaching,Leadership,Teamwork,Communication,Mentorship,Strategy"
Compiler Engineer,"C++,Compilers,LLVM,Parsing,AST,Algorithms,Data Structures"
Compliance Analyst,"Compliance,IT Audit,ISO 27001,Risk Assessment,GDPR,Data Privacy"
Computer Vision Engineer,"Computer Vision,OpenCV,PyTorch,CNNs,Image Processing,Python,C++"
Content Creator,"Video Editing,Graphic Design,Content Strategy,SEO,Social Media,Adobe Creative Suite"
Content Manager,"Content Management Systems (CMS),WordPress,SEO,Content Strategy,Editing"
